Fecha	Hora	CH4	CO	COV	HCNM	HTC	MP10	MP10 Intramuro	"MP2,5"	MPS	Neblina acida	NO	NO2	NOx	O3	Pb	SO₂
05/02/2022	21																
05/02/2022	22																
05/02/2022	23																
06/02/2022	0																
06/02/2022	1																
06/02/2022	2																
06/02/2022	3																
06/02/2022	4																
06/02/2022	5																
06/02/2022	6																
06/02/2022	7																
06/02/2022	8																
06/02/2022	9																
06/02/2022	10																
06/02/2022	11																
06/02/2022	12																
06/02/2022	13																
06/02/2022	14																
06/02/2022	15																
06/02/2022	16																
06/02/2022	17																
06/02/2022	18																
06/02/2022	19																
06/02/2022	20																
06/02/2022	21																
06/02/2022	22																
06/02/2022	23																
07/02/2022	0																
07/02/2022	1																
07/02/2022	2																
07/02/2022	3																
07/02/2022	4																
07/02/2022	5																
07/02/2022	6																
07/02/2022	7																
07/02/2022	8																
07/02/2022	9																
07/02/2022	10																
07/02/2022	11																
07/02/2022	12																
07/02/2022	13																
07/02/2022	14																
07/02/2022	15																
07/02/2022	16																
07/02/2022	17																
07/02/2022	18																
07/02/2022	19																
07/02/2022	20																
07/02/2022	21																
07/02/2022	22																
07/02/2022	23																
08/02/2022	0																
08/02/2022	1																
08/02/2022	2																
08/02/2022	3																
08/02/2022	4																
08/02/2022	5																
08/02/2022	6																
08/02/2022	7																
08/02/2022	8																
08/02/2022	9																
08/02/2022	10																
08/02/2022	11																
08/02/2022	12																
08/02/2022	13																
08/02/2022	14																
08/02/2022	15																
08/02/2022	16																
08/02/2022	17																
08/02/2022	18																
08/02/2022	19																
08/02/2022	20																
08/02/2022	21																
08/02/2022	22																
08/02/2022	23																
09/02/2022	0																
09/02/2022	1																
09/02/2022	2																
09/02/2022	3																
09/02/2022	4																
09/02/2022	5																
09/02/2022	6																
09/02/2022	7																
09/02/2022	8																
09/02/2022	9																
09/02/2022	10																
09/02/2022	11																
09/02/2022	12																
09/02/2022	13																
09/02/2022	14																
09/02/2022	15																
09/02/2022	16																
09/02/2022	17																
09/02/2022	18																
09/02/2022	19																
09/02/2022	20																
09/02/2022	21																
09/02/2022	22																
09/02/2022	23																
10/02/2022	0																
10/02/2022	1																
10/02/2022	2																
10/02/2022	3																
10/02/2022	4																
10/02/2022	5																
10/02/2022	6																
10/02/2022	7																
10/02/2022	8																
10/02/2022	9																
10/02/2022	10																
10/02/2022	11																
10/02/2022	12																
10/02/2022	13																
10/02/2022	14																
10/02/2022	15																
10/02/2022	16																
10/02/2022	17																
10/02/2022	18																
10/02/2022	19																
10/02/2022	20																
10/02/2022	21																
10/02/2022	22																
10/02/2022	23																
11/02/2022	0																
11/02/2022	1																
11/02/2022	2																
11/02/2022	3																
11/02/2022	4																
11/02/2022	5																
11/02/2022	6																
11/02/2022	7																
11/02/2022	8																
11/02/2022	9																
11/02/2022	10																
11/02/2022	11																
11/02/2022	12																
11/02/2022	13																
11/02/2022	14																
11/02/2022	15																
11/02/2022	16																
11/02/2022	17																
11/02/2022	18																
11/02/2022	19																
11/02/2022	20																
11/02/2022	21																
11/02/2022	22																
11/02/2022	23																
12/02/2022	0																
12/02/2022	1																
12/02/2022	2																
12/02/2022	3																
12/02/2022	4																
12/02/2022	5																
12/02/2022	6																
12/02/2022	7																
12/02/2022	8																
12/02/2022	9																
12/02/2022	10																
12/02/2022	11																
12/02/2022	12																
12/02/2022	13																
12/02/2022	14																
12/02/2022	15																
12/02/2022	16																
12/02/2022	17																
12/02/2022	18																
12/02/2022	19																
12/02/2022	20																
12/02/2022	21																
12/02/2022	22																
12/02/2022	23																
13/02/2022	0																
13/02/2022	1																
13/02/2022	2																
13/02/2022	3																
13/02/2022	4																
13/02/2022	5																
13/02/2022	6																
13/02/2022	7																
13/02/2022	8																
13/02/2022	9																
13/02/2022	10																
13/02/2022	11																
13/02/2022	12																
13/02/2022	13																
13/02/2022	14																
13/02/2022	15																
13/02/2022	16																
13/02/2022	17																
13/02/2022	18																
13/02/2022	19																
13/02/2022	20																
13/02/2022	21																
13/02/2022	22																
13/02/2022	23																
14/02/2022	0																
14/02/2022	1																
14/02/2022	2																
14/02/2022	3																
14/02/2022	4																
14/02/2022	5																
14/02/2022	6																
14/02/2022	7																
14/02/2022	8																
14/02/2022	9																
14/02/2022	10																
14/02/2022	11																
14/02/2022	12																
14/02/2022	13																
14/02/2022	14																
14/02/2022	15																
14/02/2022	16																
14/02/2022	17																
14/02/2022	18																
14/02/2022	19																
14/02/2022	20																
14/02/2022	21																
14/02/2022	22																
14/02/2022	23																
15/02/2022	0																
15/02/2022	1																
15/02/2022	2																
15/02/2022	3																
15/02/2022	4																
15/02/2022	5																
15/02/2022	6																
15/02/2022	7																
15/02/2022	8																
15/02/2022	9																
15/02/2022	10																
15/02/2022	11																
15/02/2022	12																
15/02/2022	13																
15/02/2022	14																
15/02/2022	15																
15/02/2022	16																
15/02/2022	17																
15/02/2022	18																
15/02/2022	19																
15/02/2022	20																
15/02/2022	21																
15/02/2022	22																
15/02/2022	23																
16/02/2022	0																
16/02/2022	1																
16/02/2022	2																
16/02/2022	3																
16/02/2022	4																
16/02/2022	5																
16/02/2022	6																
16/02/2022	7																
16/02/2022	8																
16/02/2022	9																
16/02/2022	10																
16/02/2022	11																
16/02/2022	12																
16/02/2022	13																
16/02/2022	14																
16/02/2022	15																
16/02/2022	16																
16/02/2022	17																
16/02/2022	18																
16/02/2022	19																
16/02/2022	20																
16/02/2022	21																
16/02/2022	22																
16/02/2022	23																
17/02/2022	0																
17/02/2022	1																
17/02/2022	2																
17/02/2022	3																
17/02/2022	4																
17/02/2022	5																
17/02/2022	6																
17/02/2022	7																
17/02/2022	8																
17/02/2022	9																
17/02/2022	10																
17/02/2022	11																
17/02/2022	12																
17/02/2022	13																
17/02/2022	14																
17/02/2022	15																
17/02/2022	16																
17/02/2022	17																
17/02/2022	18																
17/02/2022	19																
17/02/2022	20																
17/02/2022	21																
17/02/2022	22																
17/02/2022	23																
18/02/2022	0																
18/02/2022	1																
18/02/2022	2																
18/02/2022	3																
18/02/2022	4																
18/02/2022	5																
18/02/2022	6																
18/02/2022	7																
18/02/2022	8																
18/02/2022	9																
18/02/2022	10																
18/02/2022	11																
18/02/2022	12																
18/02/2022	13																
18/02/2022	14																
18/02/2022	15																
18/02/2022	16																
18/02/2022	17																
18/02/2022	18																
18/02/2022	19																
18/02/2022	20																
18/02/2022	21																
18/02/2022	22																
18/02/2022	23																
19/02/2022	0																
19/02/2022	1																
19/02/2022	2																
19/02/2022	3																
19/02/2022	4																
19/02/2022	5																
19/02/2022	6																
19/02/2022	7																
19/02/2022	8																
19/02/2022	9																
19/02/2022	10																
19/02/2022	11																
19/02/2022	12																
19/02/2022	13																
19/02/2022	14																
19/02/2022	15																
19/02/2022	16																
19/02/2022	17																
19/02/2022	18																
19/02/2022	19																
19/02/2022	20																
19/02/2022	21																
19/02/2022	22																
19/02/2022	23																
20/02/2022	0																
20/02/2022	1																
20/02/2022	2																
20/02/2022	3																
20/02/2022	4																
20/02/2022	5																
20/02/2022	6																
20/02/2022	7																
20/02/2022	8																
20/02/2022	9																
20/02/2022	10																
20/02/2022	11																
20/02/2022	12																
20/02/2022	13																
20/02/2022	14																
20/02/2022	15																
20/02/2022	16																
20/02/2022	17																
20/02/2022	18																
20/02/2022	19																
20/02/2022	20																
20/02/2022	21																
20/02/2022	22																
20/02/2022	23																
21/02/2022	0																
21/02/2022	1																
21/02/2022	2																
21/02/2022	3																
21/02/2022	4																
21/02/2022	5																
21/02/2022	6																
21/02/2022	7																
21/02/2022	8																
21/02/2022	9																
21/02/2022	10																
21/02/2022	11																
21/02/2022	12																
21/02/2022	13																
21/02/2022	14																
21/02/2022	15																
21/02/2022	16																
21/02/2022	17																
21/02/2022	18																
21/02/2022	19																
21/02/2022	20																
21/02/2022	21																
21/02/2022	22																
21/02/2022	23																
22/02/2022	0																
22/02/2022	1																
22/02/2022	2																
22/02/2022	3																
22/02/2022	4																
22/02/2022	5																
22/02/2022	6																
22/02/2022	7																
22/02/2022	8																
22/02/2022	9																
22/02/2022	10																
22/02/2022	11																
22/02/2022	12																
22/02/2022	13																
22/02/2022	14																
22/02/2022	15																
22/02/2022	16																
22/02/2022	17																
22/02/2022	18																
22/02/2022	19																
22/02/2022	20																
22/02/2022	21																
22/02/2022	22																
22/02/2022	23																
23/02/2022	0																
23/02/2022	1																
23/02/2022	2																
23/02/2022	3																
23/02/2022	4																
23/02/2022	5																
23/02/2022	6																
23/02/2022	7																
23/02/2022	8																
23/02/2022	9																
23/02/2022	10																
23/02/2022	11																
23/02/2022	12																
23/02/2022	13																
23/02/2022	14																
23/02/2022	15																
23/02/2022	16																
23/02/2022	17																
23/02/2022	18																
23/02/2022	19																
23/02/2022	20																
23/02/2022	21																
23/02/2022	22																
23/02/2022	23																
24/02/2022	0																
24/02/2022	1																
24/02/2022	2																
24/02/2022	3																
24/02/2022	4																
24/02/2022	5																
24/02/2022	6																
24/02/2022	7																
24/02/2022	8																
24/02/2022	9																
24/02/2022	10																
24/02/2022	11																
24/02/2022	12																
24/02/2022	13																
24/02/2022	14																
24/02/2022	15																
24/02/2022	16																
24/02/2022	17																
24/02/2022	18																
24/02/2022	19																
24/02/2022	20																
24/02/2022	21																
24/02/2022	22																
24/02/2022	23																
25/02/2022	0																
25/02/2022	1																
25/02/2022	2																
25/02/2022	3																
25/02/2022	4																
25/02/2022	5																
25/02/2022	6																
25/02/2022	7																
25/02/2022	8																
25/02/2022	9																
25/02/2022	10																
25/02/2022	11																
25/02/2022	12																
25/02/2022	13																
25/02/2022	14																
25/02/2022	15																
25/02/2022	16																
25/02/2022	17																
25/02/2022	18																
25/02/2022	19																
25/02/2022	20																
25/02/2022	21																
25/02/2022	22																
25/02/2022	23																
26/02/2022	0																
26/02/2022	1																
26/02/2022	2																
26/02/2022	3																
26/02/2022	4																
26/02/2022	5																
26/02/2022	6																
26/02/2022	7																
26/02/2022	8																
26/02/2022	9																
26/02/2022	10																
26/02/2022	11																
26/02/2022	12																
26/02/2022	13																
26/02/2022	14																
26/02/2022	15																
26/02/2022	16																
26/02/2022	17																
26/02/2022	18																
26/02/2022	19																
26/02/2022	20																
26/02/2022	21																
26/02/2022	22																
26/02/2022	23																
27/02/2022	0																
27/02/2022	1																
27/02/2022	2																
27/02/2022	3																
27/02/2022	4																
27/02/2022	5																
27/02/2022	6																
27/02/2022	7																
27/02/2022	8																
27/02/2022	9																
27/02/2022	10																
27/02/2022	11																
27/02/2022	12																
27/02/2022	13																
27/02/2022	14																
27/02/2022	15																
27/02/2022	16																
27/02/2022	17																
27/02/2022	18																
27/02/2022	19																
27/02/2022	20																
27/02/2022	21																
27/02/2022	22																
27/02/2022	23																
28/02/2022	0																
28/02/2022	1																
28/02/2022	2																
28/02/2022	3																
28/02/2022	4																
28/02/2022	5																
28/02/2022	6																
28/02/2022	7																
28/02/2022	8																
28/02/2022	9																
28/02/2022	10																
28/02/2022	11																
28/02/2022	12																
28/02/2022	13																
28/02/2022	14																
28/02/2022	15																
28/02/2022	16																
28/02/2022	17																
28/02/2022	18																
28/02/2022	19																
28/02/2022	20																
28/02/2022	21																
28/02/2022	22																
28/02/2022	23																
